name,pantheon,popularity
Abassi,African Gods,75239
Abiku,African Gods,29157
Abuk,African Gods,20339
Achimi,African Gods,18659
Adriambahomanana,African Gods,23092
Adro,African Gods,21454
Adroa,African Gods,21297
Adroanzi,African Gods,16430
Age,African Gods,16538
Aha Njoku,African Gods,19798
Aigamuxa,African Gods,14308
Aje,African Gods,22271
Ajok,African Gods,14036
Akongo,African Gods,14854
Ala,African Gods,26802
Alouroua,African Gods,12041
Amma,African Gods,21153
Ananse,African Gods,74999
Andriamahilala,African Gods,12744
Andumbulu,African Gods,11944
Anotchi,African Gods,11318
Asa,African Gods,17667
Atai,African Gods,19646
Ataokoloinona,African Gods,11779
Azra'il,African Gods,23821
Ba Dimo,African Gods,25166
Babalu Aye,African Gods,38539
Babayanmi,African Gods,15651
Banga,African Gods,14343
Bomazi,African Gods,12041
Buk,African Gods,10929
Buku,African Gods,12999
Bumba,African Gods,121818
Cagn,African Gods,13694
Candit,African Gods,10650
Cghene,African Gods,7354
Chango,African Gods,225841
Chedi Bumba,African Gods,15450
Chiuta,African Gods,12356
Chonganda,African Gods,15438
Chuku,African Gods,24013
Da,African Gods,12674
Dada,African Gods,12954
Deng,African Gods,10679
Ditaolane,African Gods,13780
Domfe,African Gods,11814
Dongo,African Gods,13836
Dubiaku,African Gods,10592
Dxui,African Gods,20854
Dyinyinga,African Gods,9090
Dziva,African Gods,16332
Ebore,African Gods,10992
Edinkira,African Gods,9491
Egungun Oya,African Gods,11386
Ekurana,African Gods,14129
Eleduwa,African Gods,27350
Elegua,African Gods,84745
Elusu,African Gods,7787
En Kai,African Gods,27903
Enekpe,African Gods,10311
Eseasar,African Gods,9147
Eshu,African Gods,91557
Fa,African Gods,20016
Faro,African Gods,16327
Ga Gorib,African Gods,10896
Gamab,African Gods,15607
Gaunab,African Gods,18320
Ghekre,African Gods,11751
Gu,African Gods,14040
Haitse Aibeb,African Gods,19765
Haiuri,African Gods,15037
Hare,African Gods,18574
Huntin,African Gods,8435
Huveane,African Gods,17897
Hyel,African Gods,11479
Iamanjie,African Gods,80660
Imana,African Gods,20703
Itherther,African Gods,8827
Jakuta,African Gods,20386
Jok,African Gods,13269
Juok,African Gods,12077
Kaang,African Gods,15970
Kabundungulu,African Gods,7723
Kaka Guie,African Gods,7833
Kalumba,African Gods,14292
Kammapa,African Gods,9467
Kanu,African Gods,11265
Katonda,African Gods,12289
Khakhabaisaywa,African Gods,12279
Khonvoum,African Gods,8417
Khuzwane,African Gods,9583
Kwoth,African Gods,9229
Le Eyo,African Gods,12471
Legba,African Gods,29570
Lela,African Gods,17585
Libanza,African Gods,9218
Maori,African Gods,13218
Massim Biambe,African Gods,8221
Mawu Lisa,African Gods,24702
Mbaba Mwanna Waresa,African Gods,8072
Mbere,African Gods,6631
Mbokomu,African Gods,8637
Mboya,African Gods,8469
Mebege,African Gods,11776
Mebere,African Gods,7391
Minga Bengale,African Gods,7146
Minona,African Gods,16929
Mo Dimo,African Gods,16693
Morimi,African Gods,10030
Mukunga M'bura,African Gods,8789
Mukuru,African Gods,10690
Muluku,African Gods,8493
Mulungu,African Gods,10206
Musso Koroni,African Gods,9434
Mwambwa,African Gods,7049
Mwari,African Gods,17777
Mwuetsi,African Gods,8494
Naiteru Kop,African Gods,13212
Nana Buluku,African Gods,9734
Nasilele,African Gods,8672
Naz,African Gods,17369
Ndjambi,African Gods,12887
Ndrian,African Gods,8950
Ngai,African Gods,13744
Ngewo Wa,African Gods,8653
Nialith,African Gods,7219
Nimba,African Gods,10389
Ninepone,African Gods,10804
Nkwa,African Gods,8861
Nommo,African Gods,16097
None,African Gods,9277
Nyaliep,African Gods,6337
Nyambe,African Gods,16714
Nyambe(2),African Gods,6876
Nyame,African Gods,17550
Nyaminyami,African Gods,12719
Nyankopon,African Gods,14530
Nyiko,African Gods,8543
Nyokonan,African Gods,6788
Nyonye Ngana,African Gods,15465
Obambo,African Gods,12167
Obassi Nsi,African Gods,4250
Obassi Osaw,African Gods,9552
Obatala,African Gods,112306
Ochosi,African Gods,19938
Odomankomo,African Gods,7009
Odua,African Gods,14568
Ofo,African Gods,6823
Ogo,African Gods,23711
Ogun,African Gods,42607
Oko,African Gods,12198
Olodumare,African Gods,84606
Olokun,African Gods,25383
Omumborombanga,African Gods,10845
Onile,African Gods,7552
Orisa,African Gods,132179
Oromila,African Gods,18026
Osanyin,African Gods,18240
Oshe,African Gods,9132
Oshun,African Gods,41019
Oshunmare,African Gods,12909
Oya,African Gods,47213
Pemba,African Gods,12425
Qamata,African Gods,23370
Raluvumbha,African Gods,6337
Rugaba,African Gods,8891
Ruhanga,African Gods,8928
Ruwa,African Gods,10782
Sagbata,African Gods,7162
Sakarabru,African Gods,10017
Shadipinyi,African Gods,7276
Shakpana,African Gods,18040
She,African Gods,9348
Soko,African Gods,11828
Somtup,African Gods,6146
Sopona,African Gods,9408
Sudika Mbambi,African Gods,9340
Thixo,African Gods,12395
Tilo,African Gods,12574
Tore,African Gods,10432
Tsetse Bumba,African Gods,15247
Uhlanga,African Gods,12647
Umvelinqangi,African Gods,13545
Unkul,African Gods,21464
Waaqa,African Gods,17951
Were,African Gods,9939
Woyengi,African Gods,10685
Wulbari,African Gods,14582
Wuni,African Gods,8613
Yansan,African Gods,16019
Yasigi,African Gods,15537
Yeban,African Gods,10714
Yurugu,African Gods,23546
Zanaharibe,African Gods,18879
Adnoartina,Australian Aboriginal,22654
Alchera,Australian Aboriginal,22085
Almudj,Australian Aboriginal,45280
Altjira,Australian Aboriginal,30458
Arawotya,Australian Aboriginal,4149
Bagadjimbiri,Australian Aboriginal,18264
Baiame,Australian Aboriginal,23378
Bamapana,Australian Aboriginal,17847
Bellin Bellin,Australian Aboriginal,9045
Bildjiwuaroju,Australian Aboriginal,8926
Binbeal,Australian Aboriginal,8119
Birrahgnooloo,Australian Aboriginal,10002
Bobbi Bobbi,Australian Aboriginal,10360
Bunbulama,Australian Aboriginal,8274
Bunjil,Australian Aboriginal,10815
Bunyip,Australian Aboriginal,9386
Daramulum,Australian Aboriginal,19877
Darana,Australian Aboriginal,10243
Dhakhan,Australian Aboriginal,7555
Dilga,Australian Aboriginal,8901
Djanggawul,Australian Aboriginal,9241
Dreamtime Snake,Australian Aboriginal,22594
Erathipa,Australian Aboriginal,7529
Gnowee,Australian Aboriginal,11383
Goanna,Australian Aboriginal,7567
Gunapipi,Australian Aboriginal,8552
Gurumukas,Australian Aboriginal,7270
Ipilya,Australian Aboriginal,13984
Julana,Australian Aboriginal,10439
Julunggul,Australian Aboriginal,9046
Junkgowa Sisters,Australian Aboriginal,6628
Jurawadbad,Australian Aboriginal,6026
Karora,Australian Aboriginal,9155
Kidili,Australian Aboriginal,8819
Kultana,Australian Aboriginal,6799
Kurukadi,Australian Aboriginal,6993
Kutjara,Australian Aboriginal,7938
Lumaluma,Australian Aboriginal,11654
Lungkata,Australian Aboriginal,11680
Mamaragan,Australian Aboriginal,10616
Mamu,Australian Aboriginal,8238
Mangar Kunjer Kunja,Australian Aboriginal,7651
Mankara Pirna,Australian Aboriginal,4635
Mar'rallang,Australian Aboriginal,6348
Mimi,Australian Aboriginal,10020
Minawara,Australian Aboriginal,6613
Miralalou,Australian Aboriginal,5320
Mita,Australian Aboriginal,6947
Mokoi,Australian Aboriginal,10872
Mooramoora,Australian Aboriginal,4055
Mopaditis,Australian Aboriginal,5448
Mudungkala,Australian Aboriginal,6683
Multultu,Australian Aboriginal,5662
Mumba,Australian Aboriginal,6467
Nadubi,Australian Aboriginal,6613
Namorodo,Australian Aboriginal,7572
Ngalyod,Australian Aboriginal,10611
Ngurunderi,Australian Aboriginal,6301
Njirana,Australian Aboriginal,6718
Pilirin,Australian Aboriginal,7719
Tatji,Australian Aboriginal,9326
Tjinimin,Australian Aboriginal,9050
Ulanji,Australian Aboriginal,6007
Uluru,Australian Aboriginal,12184
Waang,Australian Aboriginal,8520
Walaganda,Australian Aboriginal,10309
Wandjina,Australian Aboriginal,39629
Wapiya,Australian Aboriginal,7186
Waramurungundi,Australian Aboriginal,9456
Wawalag,Australian Aboriginal,4262
Widjingara,Australian Aboriginal,5810
Wuluwait,Australian Aboriginal,6037
Wuraka,Australian Aboriginal,7237
Yalungur,Australian Aboriginal,5973
Yara Ma Yha Who,Australian Aboriginal,14422
Yhi,Australian Aboriginal,11084
Yingarna,Australian Aboriginal,17112
Yrlunggur,Australian Aboriginal,7009
Acolmiztli,Aztec Gods,30550
Acuecucyoticihuati,Aztec Gods,13509
Ahuiateteo,Aztec Gods,17202
Ahuizotl,Aztec Gods,16928
Amaranth,Aztec Gods,10414
Ancient Drum,Aztec Gods,18018
Atlatonan,Aztec Gods,13154
Ayauhteotl,Aztec Gods,11805
Azcatl,Aztec Gods,13801
Batman,Aztec Gods,34540
Centeocihuatl,Aztec Gods,17145
Centzon Totochtin,Aztec Gods,24710
Centzonuitznaua,Aztec Gods,9420
Chalchihuitlicue,Aztec Gods,32756
Chalchiuhcihuatl,Aztec Gods,14361
Chalchiuhtecolotl,Aztec Gods,8672
Chalchiuhtotolin,Aztec Gods,10533
Chalmecatecuchtli,Aztec Gods,8850
Chantico,Aztec Gods,41791
Chicomexochtli,Aztec Gods,8957
Chiconahuiehecatl,Aztec Gods,7000
Chihucoatl,Aztec Gods,11293
Chimalman,Aztec Gods,8365
Cihuateteo,Aztec Gods,8963
Cinteotl,Aztec Gods,7686
Cipactli,Aztec Gods,12337
Cipactonal,Aztec Gods,9142
Citlatonac,Aztec Gods,36901
Civatateo,Aztec Gods,9577
Coatlicue,Aztec Gods,28387
Coccochimetl,Aztec Gods,8423
Cocijo,Aztec Gods,13060
Coyolxanuhqui,Aztec Gods,18806
Cuaxolotl,Aztec Gods,8754
Eagle Man,Aztec Gods,11438
Ehecacone,Aztec Gods,10990
Ehecatl,Aztec Gods,19637
Huehueteotl,Aztec Gods,21753
Huitzilopochtli,Aztec Gods,48975
Huixtocihuatl,Aztec Gods,13315
Ilamatecuhtli,Aztec Gods,10673
Itzli,Aztec Gods,8783
Itzpapalotl,Aztec Gods,12204
Itztlacoliuhqui,Aztec Gods,12321
Ixtlilton,Aztec Gods,11146
Macuil Cozcacuahtli,Aztec Gods,8278
Macuil Cuetzpalin,Aztec Gods,9475
Macuil Malinalli,Aztec Gods,7784
Macuil Tochtli,Aztec Gods,9653
Macuil Xochitl,Aztec Gods,15423
Malinalxochi,Aztec Gods,9287
Mayahual,Aztec Gods,14242
Metzli,Aztec Gods,21012
Mexitl,Aztec Gods,14968
Mictecacihuatl,Aztec Gods,19766
Mictlan,Aztec Gods,47334
Mictlantecuhtli,Aztec Gods,29793
Mixcoatl,Aztec Gods,15482
Moctezuma,Aztec Gods,13003
Nana,Aztec Gods,22732
Nuhualpilli,Aztec Gods,37463
Omacatl,Aztec Gods,35252
Omecihuatl,Aztec Gods,13373
Ometotchtli,Aztec Gods,10258
Opochtli,Aztec Gods,10407
Oxomoco,Aztec Gods,10480
Patecatl,Aztec Gods,13852
Popocatepetl,Aztec Gods,8538
Pulque,Aztec Gods,13954
Quaxolotl,Aztec Gods,10793
Quetzacoatl,Aztec Gods,71770
Spider Woman,Aztec Gods,17207
Tamoanchan,Aztec Gods,10699
Tecciztecatl,Aztec Gods,19854
Telcalipoca,Aztec Gods,7974
Temazcaltechi,Aztec Gods,10128
Teoyaomiqui,Aztec Gods,7119
Tepeyollotl,Aztec Gods,11503
Teteo Innan Toci,Aztec Gods,10088
Tezcatzontecatl,Aztec Gods,7995
Tlaelquani,Aztec Gods,14244
Tlahuixcalpantec,Aztec Gods,11911
Tlaltecuhtli,Aztec Gods,8087
Tlaoque Nahuaque,Aztec Gods,5782
Tonacatecuhtli,Aztec Gods,10145
Tonatiuh,Aztec Gods,18883
Tzitzimime,Aztec Gods,7391
Tzitzmitl,Aztec Gods,5647
Ueuecoyotl,Aztec Gods,9278
Xipe,Aztec Gods,18954
Xiuhcoatl,Aztec Gods,14928
Xiutecuhtli,Aztec Gods,6612
Xmulzencab,Aztec Gods,10409
Xochipili,Aztec Gods,19360
Xochiquetzal,Aztec Gods,19716
Xolotl,Aztec Gods,37361
Yacatecuhtli,Aztec Gods,16353
Aitvaras,Baltic Gods,9101
Alka,Baltic Gods,7110
Aspelenie,Baltic Gods,5765
Asvieniai,Baltic Gods,5023
Ausautas,Baltic Gods,3549
Auseklis,Baltic Gods,6652
Ausrine,Baltic Gods,13546
Austeja,Baltic Gods,7433
Autrimpas,Baltic Gods,5752
Bangputys,Baltic Gods,6326
Bubilas,Baltic Gods,6326
Cerekling,Baltic Gods,12693
Deivas,Baltic Gods,25423
Dewing Isching,Baltic Gods,4550
Dimste,Baltic Gods,4878
Dimstipatus,Baltic Gods,4309
Diviriks,Baltic Gods,21887
Egle,Baltic Gods,6648
Gabieta,Baltic Gods,8179
Gabjauja,Baltic Gods,3000
Ganiklis,Baltic Gods,4899
Giltine,Baltic Gods,17964
Giraitis,Baltic Gods,6141
Graudus,Baltic Gods,4635
Gyvate,Baltic Gods,4999
Indraja,Baltic Gods,6849
Junda,Baltic Gods,6174
Jurasmat,Baltic Gods,7421
Kalvaitis,Baltic Gods,4444
Kaukai,Baltic Gods,5092
Kaukas,Baltic Gods,5325
Kaupolis,Baltic Gods,2822
Kauriraris,Baltic Gods,3402
Keliu Dievas,Baltic Gods,2587
Kovas,Baltic Gods,8041
Kremara,Baltic Gods,3590
Krumine,Baltic Gods,4264
Kupole,Baltic Gods,3585
Laima,Baltic Gods,8675
Laku Mate,Baltic Gods,4297
Lauksargis,Baltic Gods,4625
Laumas,Baltic Gods,7595
Lazdona,Baltic Gods,5261
Linksmine,Baltic Gods,4569
Lopemat,Baltic Gods,4288
Lopu Mate,Baltic Gods,6665
Medeina,Baltic Gods,17298
Medziojima,Baltic Gods,2972
Mehness,Baltic Gods,8552
Meza Virs,Baltic Gods,2578
Milda,Baltic Gods,7388
Moschel,Baltic Gods,7013
Nijole,Baltic Gods,5451
Nujema,Baltic Gods,4675
Patrimpas,Baltic Gods,5242
Peckols,Baltic Gods,5227
Pilnytis,Baltic Gods,4573
Praamzius,Baltic Gods,6848
Priparchis,Baltic Gods,4610
Puskaitis,Baltic Gods,5618
Ragana,Baltic Gods,7143
Ragutiene,Baltic Gods,5706
Ragutis,Baltic Gods,8342
Rasa,Baltic Gods,5533
Raugo Zemepatis,Baltic Gods,3932
Rugiu Boba,Baltic Gods,5250
Samanelis,Baltic Gods,3949
Saule,Baltic Gods,17631
Sietynas,Baltic Gods,4530
Vaiva,Baltic Gods,3328
Vaizgantas,Baltic Gods,2594
Varuna(2),Baltic Gods,2878
Veja Motina,Baltic Gods,4621
Veliuona,Baltic Gods,6013
Velnias,Baltic Gods,18190
Zaltys,Baltic Gods,13928
Zemepatis,Baltic Gods,6272
Zemyna,Baltic Gods,14401
Zvaizdikis,Baltic Gods,5045
Aganju,Voudou Gods,11232
Agarou,Voudou Gods,10726
Agassou,Voudou Gods,9840
Agoue,Voudou Gods,7153
Agwe,Voudou Gods,8473
Aida Wedo,Voudou Gods,23710
Aizan,Voudou Gods,8186
Azacca,Voudou Gods,11485
Babluaye,Voudou Gods,6600
Badessy,Voudou Gods,6649
Baka,Voudou Gods,9261
Baron Cimetiere,Voudou Gods,21379
Baron La Croix,Voudou Gods,13711
Baron Samedi,Voudou Gods,66054
Ben Ange,Voudou Gods,5615
Bon Dieu,Voudou Gods,37342
Bossu,Voudou Gods,6401
Damballa,Voudou Gods,21231
Dan Petro,Voudou Gods,5617
Ellegua,Voudou Gods,8257
Enzili,Voudou Gods,25134
Enzili Freda,Voudou Gods,8762
Enzili Ge Rouge,Voudou Gods,9391
Enzili Mapiangueh,Voudou Gods,8736
Enzili Toho,Voudou Gods,7465
Erzulie Dantor,Voudou Gods,9866
Gede,Voudou Gods,15952
Gran Maitre,Voudou Gods,11544
Grand Bois,Voudou Gods,6682
Gros Point,Voudou Gods,4572
Ibeji,Voudou Gods,6135
Ibo,Voudou Gods,5603
Inle,Voudou Gods,7588
Joyboy,Voudou Gods,9253
Kanga,Voudou Gods,6323
Kongo Savanne,Voudou Gods,5732
La Sirene,Voudou Gods,11169
Legba(2),Voudou Gods,10301
Loa,Voudou Gods,30977
Loco,Voudou Gods,5564
Loup Garou,Voudou Gods,6233
Mait Carrefour,Voudou Gods,8264
Maman Brigette,Voudou Gods,21774
Marassa,Voudou Gods,5762
Maya,Voudou Gods,7055
Ogoun,Voudou Gods,24309
Ogoun Badagris,Voudou Gods,8727
Ogoun Fer,Voudou Gods,5261
Ogoun Shango,Voudou Gods,7871
Orichas,Voudou Gods,24917
Ougou Feray,Voudou Gods,5720
Petro,Voudou Gods,7640
Rada,Voudou Gods,8967
Simbi,Voudou Gods,7686
Voodoo,Voudou Gods,7381
We Te Mo Nan Dio,Voudou Gods,6868
Zaka Mede,Voudou Gods,9448
Abandinus,Celtic Gods,53490
Abarta,Celtic Gods,5528
Abred,Celtic Gods,27179
Aebh,Celtic Gods,3289
Aed,Celtic Gods,4508
Aengus,Celtic Gods,12426
Aeron?,Celtic Gods,4880
Afagddu,Celtic Gods,3647
Ai,Celtic Gods,3004
Ai Mac Ollamon,Celtic Gods,2543
Aibell,Celtic Gods,3264
Aichleach,Celtic Gods,2277
Aife,Celtic Gods,3988
Ailbe,Celtic Gods,2283
Ailill Anglonnach,Celtic Gods,2517
Ailill Mac Mata,Celtic Gods,3012
Ailill Olom,Celtic Gods,2541
Aille,Celtic Gods,2394
Aillen,Celtic Gods,2681
Aillinn,Celtic Gods,2251
Aimend,Celtic Gods,2556
Aine,Celtic Gods,54006
Ainge,Celtic Gods,2369
Airmid,Celtic Gods,23031
Alisanos,Celtic Gods,3225
Amaethon,Celtic Gods,20097
Amairgen,Celtic Gods,2954
Ana,Celtic Gods,94011
Andarta,Celtic Gods,20149
Andraste,Celtic Gods,4053
Angau,Celtic Gods,3200
Anluan,Celtic Gods,2305
Anociticus,Celtic Gods,16452
Araius,Celtic Gods,3971
Aranrhod,Celtic Gods,20609
Arawn,Celtic Gods,72264
Arbeth,Celtic Gods,2228
Arca Dubh,Celtic Gods,2159
Arduinna,Celtic Gods,2651
Argetlámh,Celtic Gods,34729
Arnemetia,Celtic Gods,15294
Art Mac Cuinn,Celtic Gods,2396
Arthur,Celtic Gods,15498
Assal,Celtic Gods,2140
Aywell,Celtic Gods,15803
Badb,Celtic Gods,26389
Balaticaurus,Celtic Gods,16929
Balor,Celtic Gods,39879
Banba,Celtic Gods,12578
Banshee,Celtic Gods,3545
Bean Nighe,Celtic Gods,29852
Bebhionn,Celtic Gods,3358
Bec Mac Buainn,Celtic Gods,2007
Bel,Celtic Gods,24223
Beli,Celtic Gods,3139
Belisama,Celtic Gods,13566
Beltaine,Celtic Gods,2542
Benadonner,Celtic Gods,11396
Birog,Celtic Gods,2956
Blathnat,Celtic Gods,3183
Blodeuedd,Celtic Gods,15157
Boann,Celtic Gods,16573
Bobd Derg,Celtic Gods,3581
Bormana,Celtic Gods,2226
Bormanus,Celtic Gods,11775
Bran,Celtic Gods,19715
Branwen,Celtic Gods,16639
Bres,Celtic Gods,14765
Brian,Celtic Gods,13711
Bricriu,Celtic Gods,2390
Brigantia,Celtic Gods,2333
Brigid,Celtic Gods,72188
Brounie,Celtic Gods,2528
Brughna Boinne,Celtic Gods,1848
Buanann,Celtic Gods,2161
Buggane,Celtic Gods,1974
Bwbach,Celtic Gods,2488
Cael,Celtic Gods,3920
Caer,Celtic Gods,16030
Caibell,Celtic Gods,1892
Cailitin,Celtic Gods,2368
Cailleach,Celtic Gods,8087
Camulos,Celtic Gods,21995
Cano,Celtic Gods,2269
Caradog,Celtic Gods,2177
Caridwen,Celtic Gods,2674
Carman,Celtic Gods,3547
Caswallon,Celtic Gods,2449
Cathbad,Celtic Gods,2402
Cathubodua,Celtic Gods,3408
Celtchair,Celtic Gods,1848
Cenn Cruach,Celtic Gods,30196
Ceridwen,Celtic Gods,31108
Cernunnos,Celtic Gods,13845
Cethern Mac Fintain,Celtic Gods,2149
Ceugant,Celtic Gods,2327
Changeling,Celtic Gods,2438
Ciabhan,Celtic Gods,2550
Cian,Celtic Gods,18950
Cigfa,Celtic Gods,8336
Cleena,Celtic Gods,15070
Clota,Celtic Gods,11280
Cocidius,Celtic Gods,2505
Coincheann,Celtic Gods,1832
Coinchenn,Celtic Gods,3024
Conall,Celtic Gods,1766
Conan,Celtic Gods,3318
Conaran,Celtic Gods,2007
Condatis,Celtic Gods,2646
Conlai,Celtic Gods,2050
Conn Cetchathach,Celtic Gods,1868
Connla,Celtic Gods,1849
Credne,Celtic Gods,2119
Creirwy,Celtic Gods,2998
Crunniuc,Celtic Gods,2115
Cu Chulainn,Celtic Gods,42478
Cu Roi,Celtic Gods,3073
Culann,Celtic Gods,2098
Cumhall,Celtic Gods,2045
Da Derga,Celtic Gods,2478
Dagda,Celtic Gods,86892
Daire,Celtic Gods,2710
Daire Mac Fiachna,Celtic Gods,2281
Damona,Celtic Gods,2627
Dechtire,Celtic Gods,13488
Deirdre,Celtic Gods,2479
Delbchaem,Celtic Gods,2016
Dewi,Celtic Gods,13004
Dian,Celtic Gods,2519
Dian Cecht,Celtic Gods,13769
Diarmait,Celtic Gods,2019
Dirona,Celtic Gods,21990
Domnu,Celtic Gods,3538
Don,Celtic Gods,11401
Donn,Celtic Gods,11434
Donn Cuailnge,Celtic Gods,2144
Dubh,Celtic Gods,9656
Dubh Lacha,Celtic Gods,2710
Dubhthach Doeltenga,Celtic Gods,1873
Dylan,Celtic Gods,21562
Echdae,Celtic Gods,1905
Ecne,Celtic Gods,2975
Efnisien,Celtic Gods,11574
Eithne,Celtic Gods,2663
Elatha,Celtic Gods,13343
Elffin,Celtic Gods,2376
Emain Ablach,Celtic Gods,2664
Emer,Celtic Gods,2294
Epona,Celtic Gods,19251
Eriu,Celtic Gods,15689
Esus,Celtic Gods,13753
Etain,Celtic Gods,19460
Etheline,Celtic Gods,13281
Fand,Celtic Gods,10703
Fea,Celtic Gods,17413
Fear Doirche,Celtic Gods,10023
Findbhair,Celtic Gods,9931
Finegas,Celtic Gods,11247
Finn Maccoul,Celtic Gods,24431
Fintan,Celtic Gods,16677
Fionn Mac Cumhaill,Celtic Gods,4727
Firbolg,Celtic Gods,9676
Fodla,Celtic Gods,4392
Fomoire,Celtic Gods,16400
Fotla,Celtic Gods,14299
Fraoch,Celtic Gods,8381
Fuamnach,Celtic Gods,9798
Goibhniu,Celtic Gods,18916
Grannos,Celtic Gods,13458
Gwen Bach,Celtic Gods,11621
Gwri,Celtic Gods,12700
Gwyddion,Celtic Gods,16207
Icovellauna,Celtic Gods,9314
Ildánach,Celtic Gods,68590
Irusan,Celtic Gods,16395
Ler,Celtic Gods,20394
Lleu,Celtic Gods,12769
Llwyd,Celtic Gods,9737
Lugus,Celtic Gods,11292
Mabon,Celtic Gods,14260
Mac Cecht,Celtic Gods,3511
Macha,Celtic Gods,15246
Maeve,Celtic Gods,48172
Maga,Celtic Gods,11127
Manannan Maclir,Celtic Gods,23686
Manawydan,Celtic Gods,9881
Math,Celtic Gods,14095
Matunus,Celtic Gods,9850
Merlin,Celtic Gods,21746
Midir,Celtic Gods,15863
Mil,Celtic Gods,11040
