Country or Area,Year,Area,Sex,Language,Record Type,Reliability,Source Year,Value
Åland Islands,2000,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,25776
Åland Islands,2000,Total,Both Sexes,Finnish,Census - de jure - complete tabulation,"Final figure, complete",2009,1238
Åland Islands,2000,Total,Both Sexes,Swedish,Census - de jure - complete tabulation,"Final figure, complete",2009,24169
Åland Islands,2000,Total,Both Sexes,Other,Census - de jure - complete tabulation,"Final figure, complete",2009,369
Åland Islands,2000,Total,Male,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,12700
Åland Islands,2000,Total,Male,Finnish,Census - de jure - complete tabulation,"Final figure, complete",2009,408
Åland Islands,2000,Total,Male,Swedish,Census - de jure - complete tabulation,"Final figure, complete",2009,12103
Åland Islands,2000,Total,Male,Other,Census - de jure - complete tabulation,"Final figure, complete",2009,189
Åland Islands,2000,Total,Female,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,13076
Åland Islands,2000,Total,Female,Finnish,Census - de jure - complete tabulation,"Final figure, complete",2009,830
Åland Islands,2000,Total,Female,Swedish,Census - de jure - complete tabulation,"Final figure, complete",2009,12066
Åland Islands,2000,Total,Female,Other,Census - de jure - complete tabulation,"Final figure, complete",2009,180
Albania,2011,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,2800138
Albania,2011,Total,Both Sexes,Albanian,Census - de jure - complete tabulation,"Final figure, complete",2013,2765610
Albania,2011,Total,Both Sexes,Aromanian,Census - de jure - complete tabulation,"Final figure, complete",2013,3848
Albania,2011,Total,Both Sexes,Greek,Census - de jure - complete tabulation,"Final figure, complete",2013,15196
Albania,2011,Total,Both Sexes,Romani (Gypsy),Census - de jure - complete tabulation,"Final figure, complete",2013,4025
Albania,2011,Total,Both Sexes,Italian,Census - de jure - complete tabulation,"Final figure, complete",2013,523
Albania,2011,Total,Both Sexes,Macedonian,Census - de jure - complete tabulation,"Final figure, complete",2013,4443
Albania,2011,Total,Both Sexes,Not stated,Census - de jure - complete tabulation,"Final figure, complete",2013,3843
Albania,2011,Total,Both Sexes,Turkish,Census - de jure - complete tabulation,"Final figure, complete",2013,714
Albania,2011,Total,Both Sexes,Other,Census - de jure - complete tabulation,"Final figure, complete",2013,1870
Albania,2011,Total,Both Sexes,Serbo-Croatian,Census - de jure - complete tabulation,"Final figure, complete",2013,66
Algeria,2008,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2015,30650174.96
Algeria,2008,Total,Both Sexes,Arabic,Census - de jure - complete tabulation,"Final figure, complete",2015,12330798.39
Algeria,2008,Total,Both Sexes,Arabic and French,Census - de jure - complete tabulation,"Final figure, complete",2015,8286452.177
Algeria,2008,Total,Both Sexes,English,Census - de jure - complete tabulation,"Final figure, complete",2015,7262.899905
Algeria,2008,Total,Both Sexes,French,Census - de jure - complete tabulation,"Final figure, complete",2015,395815.8709
Algeria,2008,Total,Both Sexes,None,Census - de jure - complete tabulation,"Final figure, complete",2015,6881134.381
Algeria,2008,Total,Both Sexes,Other,Census - de jure - complete tabulation,"Final figure, complete",2015,2573641.56
Algeria,2008,Total,Both Sexes,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2015,175069.6837
Algeria,2008,Total,Male,Total,Census - de jure - complete tabulation,"Final figure, complete",2015,15469705.62
Algeria,2008,Total,Male,Arabic,Census - de jure - complete tabulation,"Final figure, complete",2015,6780481.879
Algeria,2008,Total,Male,Arabic and French,Census - de jure - complete tabulation,"Final figure, complete",2015,4530189.443
Algeria,2008,Total,Male,English,Census - de jure - complete tabulation,"Final figure, complete",2015,4179.926689
Algeria,2008,Total,Male,French,Census - de jure - complete tabulation,"Final figure, complete",2015,271407.9263
Algeria,2008,Total,Male,None,Census - de jure - complete tabulation,"Final figure, complete",2015,2544627.177
Algeria,2008,Total,Male,Other,Census - de jure - complete tabulation,"Final figure, complete",2015,1254421.405
Algeria,2008,Total,Male,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2015,84397.85953
Algeria,2008,Total,Female,Total,Census - de jure - complete tabulation,"Final figure, complete",2015,15180469.34
Algeria,2008,Total,Female,Arabic,Census - de jure - complete tabulation,"Final figure, complete",2015,5550316.508
Algeria,2008,Total,Female,Arabic and French,Census - de jure - complete tabulation,"Final figure, complete",2015,3756262.734
Algeria,2008,Total,Female,English,Census - de jure - complete tabulation,"Final figure, complete",2015,3082.973216
Algeria,2008,Total,Female,French,Census - de jure - complete tabulation,"Final figure, complete",2015,124407.9446
Algeria,2008,Total,Female,None,Census - de jure - complete tabulation,"Final figure, complete",2015,4336507.205
Algeria,2008,Total,Female,Other,Census - de jure - complete tabulation,"Final figure, complete",2015,1319220.155
Algeria,2008,Total,Female,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2015,90671.82416
Algeria,2008,Urban,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2015,20154153.03
Algeria,2008,Urban,Both Sexes,Arabic,Census - de jure - complete tabulation,"Final figure, complete",2015,7795319.661
Algeria,2008,Urban,Both Sexes,Arabic and French,Census - de jure - complete tabulation,"Final figure, complete",2015,6374395.891
Algeria,2008,Urban,Both Sexes,English,Census - de jure - complete tabulation,"Final figure, complete",2015,5177.561006
Algeria,2008,Urban,Both Sexes,French,Census - de jure - complete tabulation,"Final figure, complete",2015,322532.8224
Algeria,2008,Urban,Both Sexes,None,Census - de jure - complete tabulation,"Final figure, complete",2015,3557579.687
Algeria,2008,Urban,Both Sexes,Other,Census - de jure - complete tabulation,"Final figure, complete",2015,1973802.565
Algeria,2008,Urban,Both Sexes,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2015,125344.8443
Algeria,2008,Urban,Male,Total,Census - de jure - complete tabulation,"Final figure, complete",2015,10128977.29
Algeria,2008,Urban,Male,Arabic,Census - de jure - complete tabulation,"Final figure, complete",2015,4209483.954
Algeria,2008,Urban,Male,Arabic and French,Census - de jure - complete tabulation,"Final figure, complete",2015,3416849.526
Algeria,2008,Urban,Male,English,Census - de jure - complete tabulation,"Final figure, complete",2015,2827.188071
Algeria,2008,Urban,Male,French,Census - de jure - complete tabulation,"Final figure, complete",2015,212423.4004
Algeria,2008,Urban,Male,None,Census - de jure - complete tabulation,"Final figure, complete",2015,1284128.68
Algeria,2008,Urban,Male,Other,Census - de jure - complete tabulation,"Final figure, complete",2015,943417.3957
Algeria,2008,Urban,Male,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2015,59847.14161
Algeria,2008,Urban,Female,Total,Census - de jure - complete tabulation,"Final figure, complete",2015,10025175.75
Algeria,2008,Urban,Female,Arabic,Census - de jure - complete tabulation,"Final figure, complete",2015,3585835.707
Algeria,2008,Urban,Female,Arabic and French,Census - de jure - complete tabulation,"Final figure, complete",2015,2957546.365
Algeria,2008,Urban,Female,English,Census - de jure - complete tabulation,"Final figure, complete",2015,2350.372935
Algeria,2008,Urban,Female,French,Census - de jure - complete tabulation,"Final figure, complete",2015,110109.422
Algeria,2008,Urban,Female,None,Census - de jure - complete tabulation,"Final figure, complete",2015,2273451.006
Algeria,2008,Urban,Female,Other,Census - de jure - complete tabulation,"Final figure, complete",2015,1030385.169
Algeria,2008,Urban,Female,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2015,65497.70273
Algeria,2008,Rural,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2015,10496021.93
Algeria,2008,Rural,Both Sexes,Arabic,Census - de jure - complete tabulation,"Final figure, complete",2015,4535478.726
Algeria,2008,Rural,Both Sexes,Arabic and French,Census - de jure - complete tabulation,"Final figure, complete",2015,1912056.286
Algeria,2008,Rural,Both Sexes,English,Census - de jure - complete tabulation,"Final figure, complete",2015,2085.338899
Algeria,2008,Rural,Both Sexes,French,Census - de jure - complete tabulation,"Final figure, complete",2015,73283.0485
Algeria,2008,Rural,Both Sexes,None,Census - de jure - complete tabulation,"Final figure, complete",2015,3323554.695
Algeria,2008,Rural,Both Sexes,Other,Census - de jure - complete tabulation,"Final figure, complete",2015,599838.9949
Algeria,2008,Rural,Both Sexes,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2015,49724.83934
Algeria,2008,Rural,Male,Total,Census - de jure - complete tabulation,"Final figure, complete",2015,5340728.33
Algeria,2008,Rural,Male,Arabic,Census - de jure - complete tabulation,"Final figure, complete",2015,2570997.925
Algeria,2008,Rural,Male,Arabic and French,Census - de jure - complete tabulation,"Final figure, complete",2015,1113339.917
Algeria,2008,Rural,Male,English,Census - de jure - complete tabulation,"Final figure, complete",2015,1352.738618
Algeria,2008,Rural,Male,French,Census - de jure - complete tabulation,"Final figure, complete",2015,58984.52593
Algeria,2008,Rural,Male,None,Census - de jure - complete tabulation,"Final figure, complete",2015,1260498.496
Algeria,2008,Rural,Male,Other,Census - de jure - complete tabulation,"Final figure, complete",2015,311004.0091
Algeria,2008,Rural,Male,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2015,24550.71791
Algeria,2008,Rural,Female,Total,Census - de jure - complete tabulation,"Final figure, complete",2015,5155293.598
Algeria,2008,Rural,Female,Arabic,Census - de jure - complete tabulation,"Final figure, complete",2015,1964480.801
Algeria,2008,Rural,Female,Arabic and French,Census - de jure - complete tabulation,"Final figure, complete",2015,798716.3691
Algeria,2008,Rural,Female,English,Census - de jure - complete tabulation,"Final figure, complete",2015,732.6002808
Algeria,2008,Rural,Female,French,Census - de jure - complete tabulation,"Final figure, complete",2015,14298.52258
Algeria,2008,Rural,Female,None,Census - de jure - complete tabulation,"Final figure, complete",2015,2063056.198
Algeria,2008,Rural,Female,Other,Census - de jure - complete tabulation,"Final figure, complete",2015,288834.9858
Algeria,2008,Rural,Female,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2015,25174.12143
American Samoa,2000,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2001,49471
American Samoa,2000,Total,Both Sexes,Asian,Census - de jure - complete tabulation,"Final figure, complete",2001,769
American Samoa,2000,Total,Both Sexes,English,Census - de jure - complete tabulation,"Final figure, complete",2001,1440
American Samoa,2000,Total,Both Sexes,Other Pacific Islands,Census - de jure - complete tabulation,"Final figure, complete",2001,1035
American Samoa,2000,Total,Both Sexes,Samoan,Census - de jure - complete tabulation,"Final figure, complete",2001,44833
American Samoa,2000,Total,Both Sexes,Tongan,Census - de jure - complete tabulation,"Final figure, complete",2001,1204
Anguilla,2001,Total,Both Sexes,Total,Census - de facto - complete tabulation,"Final figure, complete",2003,11430
Anguilla,2001,Total,Both Sexes,Chinese,Census - de facto - complete tabulation,"Final figure, complete",2003,7
Anguilla,2001,Total,Both Sexes,Dutch,Census - de facto - complete tabulation,"Final figure, complete",2003,2
Anguilla,2001,Total,Both Sexes,English,Census - de facto - complete tabulation,"Final figure, complete",2003,11329
Anguilla,2001,Total,Both Sexes,Spanish,Census - de facto - complete tabulation,"Final figure, complete",2003,84
Anguilla,2001,Total,Both Sexes,Other,Census - de facto - complete tabulation,"Final figure, complete",2003,8
Anguilla,2001,Total,Male,Total,Census - de facto - complete tabulation,"Final figure, complete",2003,5628
Anguilla,2001,Total,Male,Chinese,Census - de facto - complete tabulation,"Final figure, complete",2003,6
Anguilla,2001,Total,Male,Dutch,Census - de facto - complete tabulation,"Final figure, complete",2003,2
Anguilla,2001,Total,Male,English,Census - de facto - complete tabulation,"Final figure, complete",2003,5580
Anguilla,2001,Total,Male,Spanish,Census - de facto - complete tabulation,"Final figure, complete",2003,37
Anguilla,2001,Total,Male,Other,Census - de facto - complete tabulation,"Final figure, complete",2003,3
Anguilla,2001,Total,Female,Total,Census - de facto - complete tabulation,"Final figure, complete",2003,5802
