"","id","founding_name","search_name"
"1","A Place","A Place","A Place"
"2","Aalzorg","Aalzorg","Aalzorg"
"3","Abadan","Abadan","Abadan"
"4","Abagnar","Abagnar","Abagnar"
"5","Abbadiyah","Abbadiyah","Abbadiyah"
"6","Abbeville","Abbeville","Abbeville"
"7","Abejorral","Abejorral","Abejorral"
"8","Aberystwyth","Aberystwyth","Aberystwyth"
"9","Abiy Adi","Abiy Adi","Abiy Adi"
"10","Able's Glory","Able's Glory","Able's Glory"
"11","Aboukir","Aboukir","Aboukir"
"12","Abramkovo","Abramkovo","Abramkovo"
"13","Abruzzi","Abruzzi","Abruzzi"
"14","Abushiri","Abushiri","Abushiri"
"15","Acala","Acala","Acala"
"16","Acamar","Acamar","Acamar"
"17","Accrington","Accrington","Accrington"
"18","Achernar","Achernar","Achernar"
"19","Achilles","Achilles","Achilles"
"20","Achnoly","Achnoly","Achnoly"
"21","Achton","Achton","Achton"
"22","Acoma","Acoma","Acoma"
"23","Aconcagua","Aconcagua","Aconcagua"
"24","Acrux","Acrux","Acrux"
"25","Acubens","Acubens","Acubens"
"26","Ad Duwayd","Ad Duwayd","Ad Duwayd"
"27","Addasar","Addasar","Addasar"
"28","Addhara","Addhara","Addhara"
"29","Addicks","Addicks","Addicks"
"30","Adelaide","Adelaide","Adelaide"
"31","Adelson","Adelson","Adelson"
"32","Adhafera","Adhafera","Adhafera"
"33","Adhara (Trip 3040+)","Adhara","Adhara"
"34","Adherlwin","Adherlwin","Adherlwin"
"35","Adler","Adler","Adler"
"36","Adrar","Adrar","Adrar"
"37","Adrian","Adrian","Adrian"
"38","Aea","Aea","Aea"
"39","Aer (Finnalon 2822+)","Aer","Aer"
"40","Afarsin","Afarsin","Afarsin"
"41","Afleir","Afleir","Afleir"
"42","Agematsu","Agematsu","Agematsu"
"43","Aggstein","Aggstein","Aggstein"
"44","Agliana","Agliana","Agliana"
"45","Agmond (Bornal 3130+)","Agmond","Agmond"
"46","Aigle","Aigle","Aigle"
"47","Aiguebelle","Aiguebelle","Aiguebelle"
"48","Aitutaki","Aitutaki","Aitutaki"
"49","Aix-la-Chapelle","Aix-la-Chapelle","Aix-la-Chapelle"
"50","Akfata","Akfata","Akfata"
"51","Al Hillah","Al Hillah","Al Hillah"
"52","Al Jafr","Al Jafr","Al Jafr"
"53","Al Jubaylah","Al Jubaylah","Al Jubaylah"
"54","Al Na'ir","Al Na'ir","Al Na'ir"
"55","Alarion","Alarion","Alarion"
"56","Albalii","Albalii","Albalii"
"57","Albaracht","Albaracht","Albaracht"
"58","Albert Falls","Albert Falls","Albert Falls"
"59","Albiero","Albiero","Albiero"
"60","Albion (Clan)","Albion (Clan)","Albion"
"61","Albion (LC)","Albion (LC)","Albion"
"62","Alchiba","Alchiba","Alchiba"
"63","Alcor","Alcor","Alcor"
"64","Alcyone","Alcyone","Alcyone"
"65","Aldebaran","Aldebaran","Aldebaran"
"66","Aldertaine","Aldertaine","Aldertaine"
"67","Aldrecht","Aldrecht","Aldrecht"
"68","Alegro","Alegro","Alegro"
"69","Alekseyevka","Alekseyevka","Alekseyevka"
"70","Alexandria (CC)","Alexandria (CC)","Alexandria"
"71","Alexandria (LC)","Alexandria (LC)","Alexandria"
"72","Alexandrian Covenant","Alexandrian Covenant","Alexandrian Covenant"
"73","Alfirk","Alfirk","Alfirk"
"74","Algate","Algate","Algate"
"75","Algedi","Algedi","Algedi"
"76","Algenib","Algenib","Algenib"
"77","Algol","Algol","Algol"
"78","Algorab","Algorab","Algorab"
"79","Algot","Algot","Algot"
